"","ESTRATO","FACTOR_EXPANSION","FOLIO","REGION","TRAMO","TAMANO","Trigo_harinero_mca","Trigo_candeal_mca","Cebada_cervecera_mca","Cebada_forrajera_mca","Avena_mca","Maíz_consumo_mca","Maíz_semilla_mca","Arroz_mca","Triticale_mca","Otros_cereales_mca"
"1","4-2-1",3.10526315789474,401707,4,2,1,0,0,0,0,0,0,0,0,0,0
"2","4-2-1",3.10526315789474,402357,4,2,1,0,0,0,0,0,0,0,0,0,0
"3","4-2-1",3.10526315789474,408530,4,2,1,0,0,0,0,0,0,0,0,0,0
"4","4-2-1",3.10526315789474,418429,4,2,1,0,0,0,0,0,0,0,0,0,0
"5","4-2-1",3.10526315789474,418652,4,2,1,0,0,0,1,0,0,0,0,0,0
"6","4-2-1",3.10526315789474,418794,4,2,1,0,0,0,0,0,0,0,0,0,0
"7","4-2-1",3.10526315789474,419708,4,2,1,0,0,0,0,0,0,0,0,0,0
"8","4-2-1",3.10526315789474,421220,4,2,1,0,0,0,0,0,0,0,0,0,0
"9","4-2-1",3.10526315789474,421823,4,2,1,0,0,0,0,0,0,0,0,0,0
"10","4-2-1",3.10526315789474,421833,4,2,1,0,0,0,0,0,0,0,0,0,0
"11","4-2-1",3.10526315789474,421951,4,2,1,0,0,0,0,0,0,0,0,0,0
"12","4-2-1",3.10526315789474,421963,4,2,1,0,0,0,1,0,0,0,0,0,0
"13","4-2-1",3.10526315789474,422090,4,2,1,0,0,0,2.5,0,0,0,0,0,0
"14","4-2-1",3.10526315789474,422092,4,2,1,1,0,0,0,0,0,0,0,0,0
"15","4-2-1",3.10526315789474,422630,4,2,1,0,0,0,0,0,0,0,0,0,0
"16","4-2-1",3.10526315789474,423310,4,2,1,0,0,0,0,0,0,0,0,0,0
"17","4-2-1",3.10526315789474,423336,4,2,1,0,0,0,0,0,0,0,0,0,0
"18","4-2-1",3.10526315789474,423351,4,2,1,0,0,0,1.5,0,0,0,0,0,0
"19","4-2-1",3.10526315789474,423779,4,2,1,0.7,0,0,0.8,0,0,0,0,0,0
"20","4-1-5",1,400696,4,1,5,0,0,0,0,0,0,0,0,0,0
"21","4-1-6",1,400006,4,1,6,0,0,0,0,0,0,0,0,0,0
"22","4-1-6",1,401676,4,1,6,0,0,0,0,0,0,0,0,0,0
"23","4-1-6",1,401681,4,1,6,0,0,0,0,0,0,0,0,0,0
"24","4-1-6",1,407996,4,1,6,10,0,0,0,0,17,0,0,0,0
"25","4-1-7",1,402034,4,1,7,0,0,0,0,0,0,0,0,0,0
"26","4-1-8",1,400031,4,1,8,3.9,0,0,0,0,0,0,0,0,0
"27","4-1-8",1,407114,4,1,8,0,0,0,0,0,1.5,0,0,0,0
"28","4-2-2",2.42105263157895,400042,4,2,2,0,0,0,0,0,0,0,0,0,0
"29","4-2-2",2.42105263157895,400677,4,2,2,0,0,0,0,0,0,0,0,0,0
"30","4-2-2",2.42105263157895,402335,4,2,2,0,0,0,0,0,0,0,0,0,0
"31","4-2-2",2.42105263157895,402446,4,2,2,0,0,0,0,0,0,0,0,0,0
"32","4-2-2",2.42105263157895,418317,4,2,2,0,0,0,2,0,0,0,0,0,0
"33","4-2-2",2.42105263157895,418426,4,2,2,0,0,0,0,0,0,0,0,0,0
"34","4-2-2",2.42105263157895,418601,4,2,2,0,0,0,1,0,0,0,0,0,0
"35","4-2-2",2.42105263157895,418931,4,2,2,0,0,0,0,0,0.5,0,0,0,0
"36","4-2-2",2.42105263157895,421875,4,2,2,0,0,0,0,0,0,0,0,0,0
"37","4-2-2",2.42105263157895,421876,4,2,2,0,0,0,2.5,0,0,0,0,0,0
"38","4-2-2",2.42105263157895,422205,4,2,2,0,0,0,0.5,0,0,0,0,0,0
"39","4-2-2",2.42105263157895,422241,4,2,2,2,0,0,1,0,0,0,0,0,0
"40","4-2-2",2.42105263157895,422293,4,2,2,3,0,0,0.3,0,0,0,0,0,0
"41","4-2-2",2.42105263157895,422786,4,2,2,0,0,0,0,0,0,0,0,0,0
"42","4-2-2",2.42105263157895,423564,4,2,2,0,0,0,6.4,0,0,0,0,0,0
"43","4-2-2",2.42105263157895,423697,4,2,2,0,0,0,6,0,0,0,0,0,0
"44","4-2-2",2.42105263157895,423751,4,2,2,0,0,0,0,0,0,0,0,0,0
"45","4-2-2",2.42105263157895,423762,4,2,2,0,0,0,0,0,0,0,0,0,0
"46","4-2-2",2.42105263157895,423784,4,2,2,0,0,0,3,0,0,0,0,0,0
"47","4-2-3",1.26666666666667,400056,4,2,3,0,0,0,0,0,0,0,0,0,0
"48","4-2-3",1.26666666666667,400753,4,2,3,0,0,0,0,0,0,0,0,0,0
"49","4-2-3",1.26666666666667,401353,4,2,3,0,0,0,0,0,0,0,0,0,0
"50","4-2-3",1.26666666666667,401360,4,2,3,0,0,0,0,0,0,0,0,0,0
"51","4-2-3",1.26666666666667,401679,4,2,3,0,0,0,0,1.5,0,0,0,0,0
"52","4-2-3",1.26666666666667,414562,4,2,3,0,0,0,0,0,0,0,0,0,0
"53","4-2-3",1.26666666666667,420765,4,2,3,0.6,0,0,0,0,0,0,0,0,0
"54","4-2-3",1.26666666666667,421856,4,2,3,0,0,0,4,0,0,0,0,0,0
"55","4-2-3",1.26666666666667,421867,4,2,3,5,0,0,0,0,0,0,0,0,0
"56","4-2-3",1.26666666666667,421906,4,2,3,0,0,0,0,0,0,0,0,0,0
"57","4-2-3",1.26666666666667,421947,4,2,3,0,0,0,4,0,0,0,0,0,0
"58","4-2-3",1.26666666666667,422266,4,2,3,0,0,0,2,0,0,0,0,0,0
"59","4-2-3",1.26666666666667,423317,4,2,3,0,0,0,4,0,0,0,0,0,0
"60","4-2-3",1.26666666666667,423541,4,2,3,0,0,0,4,0,0,0,0,0,0
"61","4-2-3",1.26666666666667,423747,4,2,3,2,0,0,2.6,0,0.1,0,0,0,0
"62","4-2-4",1.28571428571429,400734,4,2,4,0,0,0,0,0,0,0,0,0,0
"63","4-2-4",1.28571428571429,402344,4,2,4,0,0,0,0,0,0,0,0,0,0
"64","4-2-4",1.28571428571429,402437,4,2,4,0,0,0,0,0,0,0,0,0,0
"65","4-2-4",1.28571428571429,402439,4,2,4,0,0,0,0,0,0,0,0,0,0
"66","4-2-4",1.28571428571429,407259,4,2,4,0,0,0,0,0,0,0,0,0,0
"67","4-2-4",1.28571428571429,407483,4,2,4,0,0,0,0,0,0,0,0,0,0
"68","4-2-4",1.28571428571429,418569,4,2,4,0,0,0,0,0,6,0,0,0,0
"69","5-1-6",1,502677,5,1,6,0,0,0,0,0,0,0,0,0,0
"70","5-1-6",1,505640,5,1,6,0,0,0,0,0,32,0,0,0,0
"71","5-1-6",1,505642,5,1,6,0,30,0,0,0,0,0,0,0,0
"72","5-1-6",1,510351,5,1,6,0,0,0,0,0,98,0,0,0,0
"73","5-1-6",1,528877,5,1,6,2,0,0,0,2,0,0,0,0,0
"74","5-1-6",1,529201,5,1,6,0,0,0,0,0,0,0,0,0,0
"75","5-1-6",1,529261,5,1,6,10,0,0,0,0,0,0,0,0,0
"76","5-1-8",1,528595,5,1,8,175,0,0,0,140,0,0,0,0,0
"77","5-2-1",2.31578947368421,500164,5,2,1,0,0,0,0,0,0,0,0,0,0
"78","5-2-1",2.31578947368421,500611,5,2,1,0,0,0,0,0,0,0,0,0,0
"79","5-2-1",2.31578947368421,500784,5,2,1,0,0,0,0,0,0,0,0,0,0
"80","5-2-1",2.31578947368421,500807,5,2,1,1.5,0,0,0,0,0,0,0,0,0
"81","5-2-1",2.31578947368421,500925,5,2,1,0,0,0,0,0,0,0,0,0,0
"82","5-2-1",2.31578947368421,502218,5,2,1,0,0,0,0,0,0,0,0,0,0
"83","5-2-1",2.31578947368421,502504,5,2,1,0,0,0,0,0,0,0,0,0,0
"84","5-2-1",2.31578947368421,506927,5,2,1,0,0,0,0,0,0,0,0,0,0
"85","5-2-1",2.31578947368421,507068,5,2,1,0,0,0,0,0,0,0,0,0,0
"86","5-2-1",2.31578947368421,507153,5,2,1,0,0,0,0,0,0,0,0,0,0
"87","5-2-1",2.31578947368421,509032,5,2,1,0,0,0,0,0,1,0,0,0,0
"88","5-2-1",2.31578947368421,509202,5,2,1,0,1.6,0,0,0,0,0,0,0,0
"89","5-2-1",2.31578947368421,509278,5,2,1,0,0,0,0,0,0,0,0,0,0
"90","5-2-1",2.31578947368421,519051,5,2,1,0,0,0,0,0,0,0,0,0,0
"91","5-2-1",2.31578947368421,519207,5,2,1,0,0,0,0,0,0,0,0,0,0
"92","5-2-1",2.31578947368421,519335,5,2,1,0,0,0,0,0,0,0,0,0,0
"93","5-2-1",2.31578947368421,527817,5,2,1,2,0,0,0,0,0,0,0,0,0
"94","5-2-1",2.31578947368421,528575,5,2,1,0,0,0,0,0,0,0,0,0,0
"95","5-2-1",2.31578947368421,528613,5,2,1,0,0,0,0,3,0,0,0,0,0
"96","5-2-2",2.05405405405405,500504,5,2,2,0,0,0,0,0,0,0,0,0,0
"97","5-2-2",2.05405405405405,500539,5,2,2,0,0,0,0,0,0,0,0,0,0
"98","5-2-2",2.05405405405405,500556,5,2,2,0,0,0,0,0,0,0,0,0,0
"99","5-2-2",2.05405405405405,500618,5,2,2,0,0,0,0,0,0,0,0,0,0
"100","5-2-2",2.05405405405405,500816,5,2,2,0,0,0,0,0,0,0,0,0,0
"101","5-2-2",2.05405405405405,500969,5,2,2,0,0,0,0,0,0,0,0,0,0
"102","5-2-2",2.05405405405405,502186,5,2,2,0,0,0,0,0,0,0,0,0,0
"103","5-2-2",2.05405405405405,502222,5,2,2,0,0,0,0,0,0,0,0,0,0
"104","5-2-2",2.05405405405405,502695,5,2,2,0,0,0,0,0,0,0,0,0,0
"105","5-2-2",2.05405405405405,502879,5,2,2,0,0,0,0,0,0,0,0,0,0
"106","5-2-2",2.05405405405405,503501,5,2,2,0,0,0,0,0,0,0,0,0,0
"107","5-2-2",2.05405405405405,506147,5,2,2,0,0,0,0,0,1.5,0,0,0,0
"108","5-2-2",2.05405405405405,507069,5,2,2,0,0,0,0,0,0,0,0,0,0
"109","5-2-2",2.05405405405405,507502,5,2,2,0,0,0,0,0,10,0,0,0,0
"110","5-2-2",2.05405405405405,507525,5,2,2,0,0,0,0,0,0,0,0,0,0
"111","5-2-2",2.05405405405405,508287,5,2,2,0,0,0,0,0,0,0,0,0,0
"112","5-2-2",2.05405405405405,508654,5,2,2,0,0,0,0,0,5,0,0,0,0
"113","5-2-2",2.05405405405405,509561,5,2,2,0,0,0,0,0,5,0,0,0,0
"114","5-2-2",2.05405405405405,509679,5,2,2,0,0,0,0,0,0,0,0,0,0
"115","5-2-2",2.05405405405405,509768,5,2,2,0,0,0,0,0,0,0,0,0,0
"116","5-2-2",2.05405405405405,510613,5,2,2,0,0,0,0,0,0,0,0,0,0
"117","5-2-2",2.05405405405405,517538,5,2,2,0,0,0,0,0,0,0,0,0,0
"118","5-2-2",2.05405405405405,517660,5,2,2,0,0,0,0,0,0,0,0,0,0
"119","5-2-2",2.05405405405405,517865,5,2,2,0,0,0,0,0,0,0,0,0,0
"120","5-2-2",2.05405405405405,517889,5,2,2,0,0,0,0,0,0,0,0,0,0
"121","5-2-2",2.05405405405405,518038,5,2,2,0,0,0,0,0,0,0,0,0,0
"122","5-2-2",2.05405405405405,518106,5,2,2,0,0,0,0,0,1.5,0,0,0,0
"123","5-2-2",2.05405405405405,518155,5,2,2,0,0,0,0,0,0,0,0,0,0
"124","5-2-2",2.05405405405405,518459,5,2,2,0,0,0,0,0,0,0,0,0,0
"125","5-2-2",2.05405405405405,519086,5,2,2,0,0,0,0,0,0,0,0,0,0
"126","5-2-2",2.05405405405405,519435,5,2,2,0,0,0,0,0,1,0,0,0,0
"127","5-2-2",2.05405405405405,519855,5,2,2,0,0,0,0,0,0,0,0,0,0
"128","5-2-2",2.05405405405405,527846,5,2,2,0,0,0,0,0,0,0,0,0,0
"129","5-2-2",2.05405405405405,527874,5,2,2,5,0,0,0,7,0,0,0,0,0
"130","5-2-2",2.05405405405405,527878,5,2,2,0,0,0,0,3,0,0,0,0,0
"131","5-2-2",2.05405405405405,528345,5,2,2,0,0,0,0,0,0,0,0,0,0
"132","5-2-2",2.05405405405405,528381,5,2,2,0,0,0,0,0,0,0,0,0,0
"133","5-2-3",1.11764705882353,500823,5,2,3,0,0,0,0,0,0,0,0,0,0
"134","5-2-3",1.11764705882353,502048,5,2,3,0,0,0,0,0,0,0,0,0,0
"135","5-2-3",1.11764705882353,502054,5,2,3,0,0,0,0,0,0,0,0,0,0
"136","5-2-3",1.11764705882353,502305,5,2,3,0,0,0,0,0,0,0,0,0,0
"137","5-2-3",1.11764705882353,502321,5,2,3,0,0,0,0,0,0,0,0,0,0
"138","5-2-3",1.11764705882353,502375,5,2,3,0,0,0,0,0,0,0,0,0,0
"139","5-2-3",1.11764705882353,505578,5,2,3,0,0,0,0,0,0,0,0,0,0
"140","5-2-3",1.11764705882353,505988,5,2,3,0,0,0,0,0,0,0,0,0,0
"141","5-2-3",1.11764705882353,506169,5,2,3,0,0,0,0,0,0,0,0,0,0
"142","5-2-3",1.11764705882353,506330,5,2,3,0,0,0,0,0,0,0,0,0,0
"143","5-2-3",1.11764705882353,506473,5,2,3,0,0,0,0,0,20,0,0,0,0
"144","5-2-3",1.11764705882353,506489,5,2,3,0,0,0,0,0,0,0,0,0,0
"145","5-2-3",1.11764705882353,506495,5,2,3,0,0,0,0,0,4,0,0,0,0
"146","5-2-3",1.11764705882353,508288,5,2,3,0,0,0,0,0,0,0,0,0,0
"147","5-2-3",1.11764705882353,508289,5,2,3,0,0,0,0,0,0,0,0,0,0
"148","5-2-3",1.11764705882353,508292,5,2,3,0,0,0,0,0,0,0,0,0,0
"149","5-2-3",1.11764705882353,508719,5,2,3,0,0,0,0,0,1,0,0,0,0
"150","5-2-3",1.11764705882353,508813,5,2,3,0,0,0,0,0,0,0,0,0,0
"151","5-2-3",1.11764705882353,508854,5,2,3,0,0,0,0,0,6.5,0,0,0,0
"152","5-2-3",1.11764705882353,510358,5,2,3,0,0,0,0,0,8,0,0,0,0
"153","5-2-3",1.11764705882353,517537,5,2,3,0,0,0,0,0,0,0,0,0,0
"154","5-2-3",1.11764705882353,517564,5,2,3,0,0,0,0,0,0,0,0,0,0
"155","5-2-3",1.11764705882353,517887,5,2,3,0,0,0,0,0,0,0,0,0,0
"156","5-2-3",1.11764705882353,519089,5,2,3,0,0,0,0,0,0,0,0,0,0
"157","5-2-3",1.11764705882353,519177,5,2,3,2,0,0,0,0,0,0,0,0,0
"158","5-2-3",1.11764705882353,527822,5,2,3,4,0,0,0,2,0,0,0,0,0
"159","5-2-3",1.11764705882353,527824,5,2,3,0,2,0,0,3,0,0,0,0,0
"160","5-2-3",1.11764705882353,527827,5,2,3,6,0,0,0,12,0,0,0,0,0
"161","5-2-3",1.11764705882353,527841,5,2,3,4,0,0,0,6,0,0,0,0,0
"162","5-2-3",1.11764705882353,528350,5,2,3,0,0,0,0,0,0,0,0,0,0
"163","5-2-3",1.11764705882353,528784,5,2,3,5,0,0,0,1,0,0,0,0,0
"164","5-2-3",1.11764705882353,528855,5,2,3,6,0,0,0,0,0,0,0,0,0
"165","5-2-3",1.11764705882353,528859,5,2,3,5,0,0,0,2,0,0,0,0,0
"166","5-2-3",1.11764705882353,529363,5,2,3,0,0,0,0,0,40,0,0,0,0
"167","5-2-4",1.11764705882353,500031,5,2,4,0,0,0,0,0,0,0,0,0,0
"168","5-2-4",1.11764705882353,500808,5,2,4,0,15,0,0,0,0,0,0,0,0
"169","5-2-4",1.11764705882353,500849,5,2,4,0,0,0,0,0,0,0,0,0,0
"170","5-2-4",1.11764705882353,502167,5,2,4,0,0,0,0,0,0,0,0,0,0
"171","5-2-4",1.11764705882353,502519,5,2,4,0,0,0,0,0,0,0,0,0,0
"172","5-2-4",1.11764705882353,503556,5,2,4,0,0,0,0,0,0,0,0,0,0
"173","5-2-4",1.11764705882353,505565,5,2,4,0,9,0,0,0,10,0,0,0,0
"174","5-2-4",1.11764705882353,505641,5,2,4,0,0,0,0,0,44,0,0,0,0
"175","5-2-4",1.11764705882353,507522,5,2,4,0,0,0,0,0,20,0,0,0,0
"176","5-2-4",1.11764705882353,507558,5,2,4,0,0,0,0,0,0,0,0,0,0
"177","5-2-4",1.11764705882353,508279,5,2,4,0,0,0,0,0,0,0,0,0,0
"178","5-2-4",1.11764705882353,508859,5,2,4,0,0,0,0,0,0,0,0,0,0
"179","5-2-4",1.11764705882353,508870,5,2,4,0,0,0,0,0,6,0,0,0,0
"180","5-2-4",1.11764705882353,509735,5,2,4,0,0,0,0,0,20,0,0,0,0
"181","5-2-4",1.11764705882353,518433,5,2,4,0,0,0,0,0,0,0,0,0,0
"182","5-2-4",1.11764705882353,528178,5,2,4,4,0,0,0,0,0,0,0,0,0
"183","5-2-4",1.11764705882353,528573,5,2,4,2.5,0,0,0,2.5,0,0,0,0,0
"184","5-2-5",1.22222222222222,506547,5,2,5,0,0,0,0,0,0,0,0,0,0
"185","5-2-5",1.22222222222222,507462,5,2,5,0,0,0,0,0,30,0,0,0,0
"186","5-2-5",1.22222222222222,508600,5,2,5,0,0,0,0,0,0,0,0,0,0
"187","5-2-5",1.22222222222222,509009,5,2,5,0,0,0,0,0,0,5.9,0,0,0
"188","5-2-5",1.22222222222222,509732,5,2,5,0,0,0,0,0,43,0,0,0,0
"189","5-2-5",1.22222222222222,509789,5,2,5,0,0,0,0,0,22,0,0,0,0
"190","5-2-5",1.22222222222222,519186,5,2,5,0,0,0,0,0,0,0,0,0,0
"191","5-2-5",1.22222222222222,527819,5,2,5,4,0,0,0,0,0,0,0,0,0
"192","5-2-5",1.22222222222222,528559,5,2,5,0,0,0,0,0,10,0,0,0,0
"193","6-1-8",1,601265,6,1,8,70,0,0,0,0,130,0,0,0,0
"194","6-1-8",1,602518,6,1,8,0,0,0,0,0,75.5,0,0,0,0
"195","6-1-8",1,602520,6,1,8,0,0,0,0,0,78.5,0,0,0,0
"196","6-1-8",1,607057,6,1,8,0,0,0,0,0,176.5,0,0,0,0
"197","6-1-8",1,607086,6,1,8,0,0,0,0,0,310,0,0,0,0
"198","6-1-8",1,617620,6,1,8,0,0,0,0,0,15.6,12,0,0,0
"199","6-1-8",1,621404,6,1,8,0,0,0,0,0,212,0,0,0,0
"200","6-1-8",1,630036,6,1,8,0,0,0,0,0,272,0,0,0,0
"201","6-1-9",1,605239,6,1,9,0,0,0,0,0,0,0,0,0,0
"202","6-1-9",1,606942,6,1,9,0,100,0,0,0,349.5,200,0,0,0
"203","6-2-1",4.76422764227642,600210,6,2,1,0,0,0,0,0,10,0,0,0,0
"204","6-2-1",4.76422764227642,600247,6,2,1,0,0,0,0,0,7.5,0,0,0,0
"205","6-2-1",4.76422764227642,600284,6,2,1,0,0,0,0,0,1.2,0,0,0,0
"206","6-2-1",4.76422764227642,600411,6,2,1,0,0,0,0,0,0,0,0,0,0
"207","6-2-1",4.76422764227642,600433,6,2,1,0,0,0,0,0,0,0,0,0,0
"208","6-2-1",4.76422764227642,600473,6,2,1,0,0,0,0,0,0,0,0,0,0
"209","6-2-1",4.76422764227642,600474,6,2,1,0,0,0,0,0,8.5,0,0,0,0
"210","6-2-1",4.76422764227642,601679,6,2,1,0,0,0,0,0,0,0,0,0,0
"211","6-2-1",4.76422764227642,602094,6,2,1,0,0,0,0,0,0,0,0,0,0
"212","6-2-1",4.76422764227642,602395,6,2,1,0,0,0,0,0,0,0,0,0,0
"213","6-2-1",4.76422764227642,602478,6,2,1,0,0,0,0,0,0,0,0,0,0
"214","6-2-1",4.76422764227642,602598,6,2,1,0,0,0,0,0,0,0,0,0,0
"215","6-2-1",4.76422764227642,603088,6,2,1,0,0,0,0,0,12,0,0,0,0
"216","6-2-1",4.76422764227642,603309,6,2,1,0,0,0,0,0,0,0,0,0,0
"217","6-2-1",4.76422764227642,603336,6,2,1,0,0,0,0,0,0,0,0,0,0
"218","6-2-1",4.76422764227642,603469,6,2,1,0,0,0,0,0,0,0,0,0,0
"219","6-2-1",4.76422764227642,603480,6,2,1,0,0,0,0,0,0,0,0,0,0
"220","6-2-1",4.76422764227642,604394,6,2,1,0,0,0,0,0,0,0,0,0,0
"221","6-2-1",4.76422764227642,604524,6,2,1,0,0,0,0,0,4,0,0,0,0
"222","6-2-1",4.76422764227642,604690,6,2,1,0,0,0,0,0,0,0,0,0,0
"223","6-2-1",4.76422764227642,604791,6,2,1,0,0,0,0,0,0,0,0,0,0
"224","6-2-1",4.76422764227642,605276,6,2,1,0,0,0,0,0,0,0,0,0,0
"225","6-2-1",4.76422764227642,605340,6,2,1,0,0,0,0,0,1.7,0,0,0,0
"226","6-2-1",4.76422764227642,605433,6,2,1,0,0,0,0,0,0,0,0,0,0
"227","6-2-1",4.76422764227642,605542,6,2,1,0,0,0,0,0,0,0,0,0,0
"228","6-2-1",4.76422764227642,605688,6,2,1,0,0,0,0,0,0,0,0,0,0
"229","6-2-1",4.76422764227642,605780,6,2,1,0,0,0,0,0,1,0,0,0,0
"230","6-2-1",4.76422764227642,605870,6,2,1,0,0,0,0,0,10,0,0,0,0
"231","6-2-1",4.76422764227642,605937,6,2,1,0,0,0,0,0,0,0,0,0,0
"232","6-2-1",4.76422764227642,605969,6,2,1,0,0,0,0,0,0,0,0,0,0
"233","6-2-1",4.76422764227642,605979,6,2,1,0,0,0,0,0,2,0,0,0,0
"234","6-2-1",4.76422764227642,606062,6,2,1,0,0,0,0,0,12.5,0,0,0,0
"235","6-2-1",4.76422764227642,606741,6,2,1,0,0,0,0,0,0,0,0,0,0
"236","6-2-1",4.76422764227642,606791,6,2,1,0,0,0,0,0,0,0,0,0,0
"237","6-2-1",4.76422764227642,606995,6,2,1,0,0,0,0,0,0,0,0,0,0
"238","6-2-1",4.76422764227642,607225,6,2,1,0,0,0,0,0,1,0,0,0,0
